"PRODGROUPID","NAME","ISSUELEDGERDIMENSION","ISSUEOFFSETLEDGERDIMENSION","PICKLISTLEDGERDIMENSION","PICKLISTOFFSETLEDGERDIMENSION","RECEIPTLEDGERDIMENSION","RECEIPTOFFSETLEDGERDIMENSION","REPORTLEDGERDIMENSION","REPORTOFFSETLEDGERDIMENSION","WIPISSUELEDGERDIMENSION","WIPVALUATIONLEDGERDIMENSION","RESOURCEISSUELEDGERDIMENSION","RESOURCEISSUEOFFSETLEDGERDIMENSION","LEANWIPSERVICERECEIPTLEDGERDIMENSION","LEANWIPSERVICECLEARINGLEDGERDIMENSION","INDIRECTABSORPTIONOFFSETLEDGERDIMENSION","ESTIMINDIRECTABSORPOFFSETLEDGERDIMENSION","DATAAREAID","RECVERSION","PARTITION","RECID"
CC,Cold Cup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kclm,1,5637144576,5637149827
FC,Food Cup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kclm,1396514336,5637144576,5637149831
HC,Hot Cup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kclm,285259682,5637144576,5637149826
IC,Icecream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kclm,1,5637144576,5637149830
OtherM,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kclm,1252665754,5637144576,5637151326
SLVCONE,SLVCONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kclm,1,5637144576,5637152076
EdibleCup,EdibleCup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kclt,1,5637144576,5637152826
KRATHONG,โคนกระทง,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kclt,1,5637144576,5637150576
OtherT,อื่นๆ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kclt,137478804,5637144576,5637148326
SUGAR,ซูการ์โคน,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kclt,1,5637144576,5637149076
WAFER,เวเฟอร์โคน,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kclt,1,5637144576,5637146079
WAFFLE,วาฟเฟิลโคน,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kclt,1,5637144576,5637146080
